Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
471,145,Directed,1106,,,2,Twitter for Android,LaHuellaOvni,es,2019-09-11
471,3444,Directed,1107,,,1,Twitter for Android,None,es,2019-09-11
472,163,Directed,1108,,,3,Twitter for Android,Illinois,es,2020-10-23
473,38,Directed,1109,,,3,Twitter for Android,ovni,es,2019-03-11
474,2022,Directed,1110,,,1,Twitter for Android,None,es,2012-01-11
478,59,Directed,1111,,,3,Twitter for iPhone,UFO,es,2012-07-11
479,5,Directed,1112,,,3,Twitter for Android,extraterrestre,es,2016-06-21
482,2,Directed,1113,,,3,Twitter for Android,None,es,2011-06-06
484,163,Directed,1114,,,3,Twitter for Android,EstadosUnidos,es,2020-07-30
486,10,Directed,1115,,,1,Twitter for iPhone,None,es,2012-07-25
486,14,Directed,1116,,,1,Twitter for iPhone,None,es,2012-07-25
486,72,Directed,1117,,,1,Twitter for iPhone,None,es,2012-07-25
489,38,Directed,1118,,,3,Twitter for Android,ovni,es,2018-10-16
490,47,Directed,1119,,,1,Twitter Web App,ufotwitter,es,2012-03-06
490,79,Directed,1120,,,1,Twitter Web App,ufotwitter,es,2012-03-06
491,40,Directed,1121,,,1,Tweetbot for iΟS,None,es,2008-10-11
495,24,Directed,1122,,,3,Twitter for Android,rosavientos,es,2012-07-31
496,6,Directed,1123,,,2,Twitter Web App,Horizonte,es,2012-06-22
496,24,Directed,1124,,,1,Twitter Web App,rosavientos,es,2012-06-22
498,498,Directed,1125,,,1,Twitter for Android,None,es,2015-07-30
502,26,Directed,1126,,,3,Twitter for Android,Allatra,und,2020-05-07
504,14,Directed,1127,,,1,Twitter for Android,None,es,2009-07-01
504,504,Directed,1128,,,1,Twitter Web App,Ufo,es,2009-07-01
505,513,Directed,1129,,,3,Twitter for Android,None,es,2010-02-08
506,33,Directed,1130,,,2,Twitter for Android,None,fr,2012-02-22
506,49,Directed,1131,,,1,Twitter for Android,Pentagone,fr,2012-02-22
507,580,Directed,1132,,,3,Twitter Web App,BillClinton,es,2020-11-26
508,24,Directed,1133,,,1,Twitter for Android,rosavientos,es,2019-04-16
508,53,Directed,1134,,,1,Twitter for Android,rosavientos,es,2019-04-16
