Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
2092,0,Directed,2446,,,1,Twitter for Android,None,es,2011-12-01
2093,0,Directed,2447,,,1,Twitter for iPhone,None,es,2013-12-25
2094,104,Directed,2448,,,1,Twitter for iPhone,None,es,2020-08-06
2095,0,Directed,2449,,,1,Twitter for Android,None,es,2013-11-26
2096,3,Directed,2450,,,1,Twitter for Android,None,es,2013-03-07
2097,531,Directed,2451,,,1,Twitter Web App,None,es,2013-06-12
2098,4,Directed,2452,,,1,Twitter for Android,None,es,2011-03-02
2099,94,Directed,2453,,,1,Twitter for Android,None,es,2013-07-24
2100,4,Directed,2454,,,1,Twitter for iPhone,None,es,2011-04-10
2101,561,Directed,2455,,,1,Twitter for iPhone,None,es,2011-01-02
2102,0,Directed,2456,,,1,Twitter for Android,None,es,2012-06-13
2103,0,Directed,2457,,,1,Twitter for iPhone,None,es,2010-08-09
2104,101,Directed,2458,,,1,Twitter for Android,None,es,2012-07-14
2105,8,Directed,2459,,,1,Twitter for Android,None,es,2013-07-19
2106,10,Directed,2460,,,1,Twitter for Android,None,es,2019-07-05
2107,0,Directed,2461,,,1,Twitter for Android,None,es,2019-03-01
2108,1,Directed,2462,,,1,Twitter for iPhone,None,es,2014-07-16
2109,8,Directed,2463,,,1,Twitter for Android,None,es,2012-02-09
2110,34,Directed,2464,,,1,Twitter for iPhone,None,es,2011-11-06
2111,0,Directed,2465,,,1,Twitter Web App,None,es,2010-04-08
2112,3,Directed,2466,,,1,Twitter for Android,None,es,2013-04-06
2113,11,Directed,2467,,,1,Twitter for Android,None,es,2012-03-25
2114,2776,Directed,2468,,,1,Twitter Web App,None,es,2020-06-10
2115,46,Directed,2469,,,1,Twitter for iPhone,None,es,2019-10-14
2116,4,Directed,2470,,,1,Twitter for iPhone,None,es,2011-09-14
2117,0,Directed,2471,,,1,Twitter for iPhone,None,es,2013-04-08
2118,1,Directed,2472,,,1,Twitter for Android,None,es,2015-12-02
2119,15,Directed,2473,,,1,Twitter for iPhone,None,es,2015-09-15
2120,4,Directed,2474,,,1,Twitter for Android,None,es,2012-01-22
2121,2973,Directed,2475,,,1,Twitter for Android,None,ca,2017-06-16
2122,18,Directed,2476,,,1,Twitter for Android,None,es,2011-10-01
2123,1,Directed,2477,,,1,Twitter for iPhone,None,es,2012-10-09
2124,1,Directed,2478,,,1,Twitter for Android,None,es,2013-04-18
2125,0,Directed,2479,,,1,Twitter for Android,None,es,2011-12-04
2126,1,Directed,2480,,,1,Twitter for iPhone,None,es,2015-03-07
2127,45,Directed,2481,,,1,Twitter for Android,Madrid,es,2010-06-17
2128,10,Directed,2482,,,1,Twitter for Android,None,es,2016-02-02
